Ingredient,Matched_GSRS_Name,UNII,Substance_Class,GSRS_Status,Query_Used,Match_Type,All_Classes,Formula,SMILES
COLCHICINE; PROBENECID,Colchicine | Probenecid,SML2Y3J35T | PO572Z7917,chemical,approved | approved,COLCHICINE; PROBENECID,"combination(exact_full,exact_full)",chemical,,
COLESEVELAM HYDROCHLORIDE,COLESEVELAM HYDROCHLORIDE,P4SG24WI5Q,polymer,approved,COLESEVELAM HYDROCHLORIDE,exact_full,polymer,,
COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,X7D10K905G,polymer,approved,COLESTIPOL HYDROCHLORIDE,exact_full,polymer,,
COLISTIMETHATE SODIUM,COLISTIMETHATE SODIUM,XW0E5YS77G,mixture,approved,COLISTIMETHATE SODIUM,exact_full,mixture,,
COLISTIN SULFATE; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; THONZONIUM BROMIDE,COLISTIN SULFATE | Hydrocortisone Acetate | Neomycin sulfate | THONZONIUM BROMIDE,WP15DXU577 | 3X7931PO74 | 057Y626693 | JI2B19CR0R,mixture,approved | approved | approved | approved,COLISTIN SULFATE; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; THONZONIUM BROMIDE,"combination(exact_full,exact_full,exact_full,exact_full)",mixture | chemical,,
CONIVAPTAN HYDROCHLORIDE,CONIVAPTAN HYDROCHLORIDE,75L57R6X36,chemical,approved,CONIVAPTAN HYDROCHLORIDE,exact_full,chemical,C32H26N4O2.ClH,Cc1nc2CCN(c3ccccc3-c2[nH]1)C(=O)c4ccc(cc4)NC(=O)c5ccccc5-c6ccccc6.Cl
COPPER,COPPER,789U1901C5,chemical,approved,COPPER,exact_full,chemical,Cu,[Cu]
COPPER CU-64 DOTATATE,COPPER OXODOTREOTIDE CU-64,N3858377KC,chemical,approved,COPPER CU-64 DOTATATE,exact_full,chemical,C65H88N14O19S2.Cu,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@@H](Cc2ccc(cc2)O)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCCCN)C(=O)N1)NC(=O)[C@@H](Cc5ccccc5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)O)CC(=O)[O-])C(=O)N[C@@]([H])([C@@H](C)O)C(=O)O)O.[64Cu+2]
COPPER HISTIDINATE,Copper Histidinate,9078K3MO9U,chemical,approved,COPPER HISTIDINATE,exact_full,chemical,2C6H8N3O2.Cu,C(c1cnc[nH]1)[C@@H](C(=O)[O-])N.C(c1cnc[nH]1)[C@@H](C(=O)[O-])N.[Cu+2]
CORTICOTROPIN,Corticotropin,K0U68Q2TXA,protein,approved,CORTICOTROPIN,exact_full,protein,,
COSYNTROPIN,COSYNTROPIN,72YY86EA29,protein,approved,COSYNTROPIN,exact_full,protein,,
CRINECERFONT,Crinecerfont,MFT24BX55I,chemical,approved,CRINECERFONT,exact_full,chemical,C27H28ClFN2OS,C#CCN([C@@H](CC1CC1)c2ccc(C)c(c2)F)c3nc(c(C)s3)-c4cc(C)c(cc4Cl)OC
CRISABOROLE,Crisaborole,Q2R47HGR7P,chemical,approved,CRISABOROLE,exact_full,chemical,C14H10BNO3,c1cc(ccc1C#N)Oc2ccc3c(c2)COB3O
CRIZOTINIB,Crizotinib,53AH36668S,chemical,approved,CRIZOTINIB,exact_full,chemical,C21H22Cl2FN5O,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)-c3cnn(c3)C4CCNCC4
CROFELEMER,CROFELEMER,PY79D6C8RX,polymer,approved,CROFELEMER,exact_full,polymer,,
CROMOLYN SODIUM,Cromolyn Sodium,Q2WXR1I0PK,chemical,approved,CROMOLYN SODIUM,exact_full,chemical,C23H14O11.2Na,c1cc(c2c(=O)cc(C(=O)[O-])oc2c1)OCC(COc3cccc4c3c(=O)cc(C(=O)[O-])o4)O.[Na+].[Na+]
CROTAMITON,CROTAMITON,D6S4O4XD0H,mixture,approved,CROTAMITON,exact_full,mixture,,
CUPRIC CHLORIDE,CUPRIC CHLORIDE,S2QG84156O,chemical,approved,CUPRIC CHLORIDE,exact_full,chemical,2Cl.Cu.2H2O,[Cl-].[Cl-].[Cu+2].O.O
CUPRIC SULFATE,Cupric sulfate,LRX7AJ16DT,chemical,approved,CUPRIC SULFATE,exact_full,chemical,Cu.O4S.5H2O,[Cu+2].O=S(=O)([O-])[O-].O.O.O.O.O
CUPRIC SULFATE; MANGANESE SULFATE; SELENIOUS ACID; ZINC SULFATE,"Cupric sulfate | Manganese Sulfate | Selenious acid | ZINC SULFATE, UNSPECIFIED FORM",LRX7AJ16DT | W00LYS4T26 | F6A27P4Q4R | 89DS0H96TB,mixture,approved | approved | approved | approved,CUPRIC SULFATE; MANGANESE SULFATE; SELENIOUS ACID; ZINC SULFATE,"combination(exact_full,exact_full,exact_full,exact_full)",chemical | mixture,,
