Ingredient,Trade_Name(s),Applicant(s),NDA_Count,ANDA_Count,NDA_Appl_Nos,ANDA_Appl_Nos,DF_Route(s),TE_Code(s),Earliest_Approval,Latest_Approval,RLD_Count,Generic_Competitor_Count,Disease_Category,Duration_Class,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Exclusivity_Codes,Latest_Exclusivity_Date,Has_Blocking_Exclusivity
ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE | COMBIVENT RESPIMAT,BOEHRINGER INGELHEIM PHARMACEUTICALS INC | CIPLA LTD | NEPHRON PHARMACEUTICALS CORP | SUN PHARMACEUTICAL INDUSTRIES LTD | THE RITEDOSE CORP,1,4,021747,076749 | 077559 | 202496 | 207875,"SOLUTION;INHALATION | SPRAY, METERED;INHALATION",AN,2007-12-31,2017-08-07,1,4,Respiratory,CHRONIC,4,2030-10-16,2030,,,No
ALCAFTADINE,ALCAFTADINE | LASTACAFT,ABBVIE INC | ALEMBIC PHARMACEUTICALS LTD | GLAND PHARMA LTD,1,2,022134,209290 | 209706,SOLUTION/DROPS;OPHTHALMIC,,2010-07-28,2024-10-02,1,2,Other/Unclassified,OTHER,2,2027-12-23,2027,,,No
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,FOUGERA PHARMACEUTICALS INC | SUN PHARMA CANADA INC,0,4,,076587 | 076730 | 076884 | 076973,CREAM;TOPICAL | OINTMENT;TOPICAL,AB,2004-07-29,2005-09-15,0,4,Other/Unclassified,OTHER,0,,,,,No
ALCOHOL; CHLORHEXIDINE GLUCONATE,AVAGARD,SOLVENTUM US LLC,1,0,021074,,SOLUTION;TOPICAL,,2001-06-07,2001-06-07,1,0,Other/Unclassified,OTHER,0,,,,,No
ALECTINIB HYDROCHLORIDE,ALECENSA,HOFFMANN-LA ROCHE INC,1,0,208434,,CAPSULE;ORAL,,2015-12-11,2015-12-11,1,0,Oncology,LONG-TERM,5,2035-04-24,2035,I-947 | ODE-477,2031-04-18,No
ALENDRONATE SODIUM,ALENDRONATE SODIUM | BINOSTO | FOSAMAX,AUROBINDO PHARMA LTD | CIPLA LTD | HANGZHOU MINSHENG BINJIANG PHARMACEUTICAL CO LTD | HIKMA PHARMACEUTICALS USA INC | IPCA LABORATORIES LTD | NOVITIUM PHARMA LLC | ORGANON LLC A SUB OF ORGANON AND CO | RADIUS HEALTH INC | SUN PHARMACEUTICAL INDUSTRIES LTD | WATSON LABORATORIES INC,2,8,020560 | 202344,076768 | 076984 | 090022 | 090124 | 090258 | 090520 | 206387 | 214512,"SOLUTION;ORAL | TABLET, EFFERVESCENT;ORAL | TABLET;ORAL",AA | AB,2000-10-20,2024-06-04,2,25,Metabolic,CHRONIC,1,2031-12-05,2031,,,No
ALENDRONATE SODIUM; CHOLECALCIFEROL,FOSAMAX PLUS D,ORGANON LLC,1,0,021762,,TABLET;ORAL,,2005-04-07,2007-04-26,2,0,Metabolic,CHRONIC,0,,,,,No
ALFENTANIL HYDROCHLORIDE,ALFENTA,RISING PHARMA HOLDINGS INC,1,0,019353,,INJECTABLE;INJECTION,,1986-12-29,1986-12-29,1,0,Other/Unclassified,OTHER,0,,,,,No
ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE | UROXATRAL,ADVANZ PHARMA (US) CORP | APOTEX INC | AUROBINDO PHARMA LTD | INVAGEN PHARMACEUTICALS INC | UNICHEM LABORATORIES LTD,1,4,021287,079013 | 079060 | 090284 | 203192,"TABLET, EXTENDED RELEASE;ORAL",AB,2003-06-12,2016-01-28,1,4,Metabolic,CHRONIC,0,,,,,No
ALISKIREN HEMIFUMARATE,ALISKIREN HEMIFUMARATE | TEKTURNA,LXO IRELAND DESIGNATED ACTIVITY CO | PH HEALTH LTD,1,1,021985,206665,TABLET;ORAL,AB,2007-03-05,2019-03-22,2,2,Cardiovascular,CHRONIC,2,2026-08-19,2026,,,No
ALITRETINOIN,PANRETIN,ADVANZ PHARMA (US) CORP,1,0,020886,,GEL;TOPICAL,,1999-02-02,1999-02-02,1,0,Dermatology,CHRONIC,0,,,,,No
ALLOPURINOL,ALLOPURINOL | LOPURIN | ZYLOPRIM,ACCORD HEALTHCARE INC | AUROBINDO PHARMA LTD | CASPER PHARMA LLC | CHARTWELL LIFE MOLECULES LLC | DR REDDYS LABORATORIES INC | HARMAN FINOCHEM LTD | HETERO LABS LTD UNIT V | MYLAN PHARMACEUTICALS INC | PH HEALTH LTD | REGCON HOLDINGS LLC | SUN PHARMACEUTICAL INDUSTRIES INC | UNICHEM LABORATORIES LTD | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC,3,13,016084 | 018832 | 018877,018659 | 071450 | 071586 | 071587 | 075798 | 077353 | 203154 | 204467 | 210117 | 211820 | 214443 | 215091 | 217748,TABLET;ORAL,AB,1984-09-28,2025-06-13,3,27,Metabolic,CHRONIC,0,,,,,No
ALLOPURINOL SODIUM,ALLOPURINOL SODIUM | ALOPRIM,GLAND PHARMA LTD | HIKMA PHARMACEUTICALS USA INC | MYLAN INSTITUTIONAL LLC A VIATRIS CO,1,2,020298,076870 | 212363,INJECTABLE;INJECTION,AP,1996-05-17,2022-01-26,1,2,Metabolic,CHRONIC,0,,,,,No
ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,AJANTA PHARMA LTD | MYLAN PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA,0,3,,078027 | 205171 | 205523,TABLET;ORAL,AB,2015-07-07,2016-03-03,0,6,Neurology,PERIODIC,0,,,,,No
ALOGLIPTIN BENZOATE,NESINA,TAKEDA PHARMACEUTICALS USA INC,1,0,022271,,TABLET;ORAL,,2013-01-25,2013-01-25,3,0,Metabolic,CHRONIC,2,2029-06-16,2029,M-300,2026-07-27,No
ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,KAZANO,TAKEDA PHARMACEUTICALS USA INC,1,0,203414,,TABLET;ORAL,,2013-01-25,2013-01-25,2,0,Metabolic,CHRONIC,2,2029-05-24,2029,M-300,2026-07-27,No
ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,OSENI,TAKEDA PHARMACEUTICALS USA INC,1,0,022426,,TABLET;ORAL,,2013-01-25,2013-01-25,4,0,Metabolic,CHRONIC,2,2029-06-04,2029,,,No
ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE | LOTRONEX,AMNEAL PHARMACEUTICALS OF NEW YORK LLC | HIBROW HEALTHCARE PRIVATE LTD | LEGACY PHARMA INC | MANKIND PHARMA LTD | RISING PHARMA HOLDINGS INC,1,4,021107,206647 | 209180 | 211621 | 213614,TABLET;ORAL,AB,2000-02-09,2020-09-09,2,8,Other/Unclassified,OTHER,0,,,,,No
ALPELISIB,PIQRAY | VIJOICE,NOVARTIS PHARMACEUTICALS CORP,3,0,212526 | 215039 | 218466,,GRANULE;ORAL | TABLET;ORAL,,2019-05-24,2024-04-24,7,0,Oncology,LONG-TERM,4,2037-02-17,2037,I-937 | ODE-396,2029-04-05,No
ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,INFUVITE ADULT | MULTIPLE VITAMINS INJECTION ADULT,APOTEX INC | SANDOZ CANADA INC,1,2,021163,210273 | 210672,SOLUTION;INTRAVENOUS,AP,2000-05-18,2026-04-09,2,2,Metabolic,CHRONIC,0,,,,,No
ALPRAZOLAM,ALPRAZOLAM | XANAX | XANAX XR,ACTAVIS ELIZABETH LLC | ACTAVIS ELIZABETH LLC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | AMNEAL PHARMACEUTICALS NY LLC | AUROBINDO PHARMA LTD | HIKMA PHARMACEUTICALS USA INC | NATCO PHARMA LTD | NOVITIUM PHARMA LLC | PH HEALTH LTD | SANDOZ INC | UPJOHN US 2 LLC,2,12,018276 | 021434,074112 | 074174 | 074312 | 074342 | 074909 | 078056 | 078088 | 078387 | 078561 | 090871 | 200739 | 203346,"CONCENTRATE;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",AB,1985-11-27,2015-07-31,8,41,Psychiatric,PERIODIC,0,,,,,No
ALPROSTADIL,ALPROSTADIL | CAVERJECT | CAVERJECT IMPULSE | EDEX | PROSTIN VR PEDIATRIC,ENDO OPERATIONS LTD | HIKMA PHARMACEUTICALS USA INC | MEITHEAL PHARMACEUTICALS INC | PFIZER INC,4,2,018484 | 020379 | 020649 | 021212,074815 | 075196,INJECTABLE;INJECTION,AP,1995-07-06,2002-06-11,10,2,Other/Unclassified,OTHER,0,,,,,No
ALVIMOPAN,ALVIMOPAN,HIKMA PHARMACEUTICALS USA INC | PH HEALTH LTD | WATSON LABORATORIES INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,0,3,,208295 | 216843 | 217753,CAPSULE;ORAL,AB,2019-12-19,2023-08-31,0,3,Other/Unclassified,OTHER,0,,,,,No
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE | GOCOVRI,ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA USA INC | BIONPHARMA INC | CHARTWELL RX SCIENCES LLC | HERITAGE PHARMA LABS INC | HUMANWELL PURACAP PHARMACEUTICAL WUHAN CO LTD | ONESOURCE SPECIALTY PTE LTD | PHARMACEUTICAL ASSOCIATES INC | PHARMOBEDIENT CONSULTING LLC | POM PHARMA LTD | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SANDOZ INC | STRIDES PHARMA GLOBAL PTE LTD | SUPERNUS PHARMACEUTICALS INC | UPSHER SMITH LABORATORIES LLC | WATSON LABORATORIES INC | ZHEJIANG JUTAI PHARMACEUTICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC,1,22,208944,070589 | 071293 | 074028 | 074170 | 074509 | 075060 | 076186 | 078720 | 208096 | 208278 | 208966 | 209035 | 209047 | 209171 | 210129 | 210215 | 211354 | 212044 | 214178 | 214284 | 214580 | 218598,"CAPSULE, EXTENDED RELEASE;ORAL | CAPSULE;ORAL | SYRUP;ORAL | TABLET;ORAL",AA | AB,1986-08-05,2024-09-26,2,22,Neurology,CHRONIC,13,2038-08-23,2038,,,No
AMBRISENTAN,AMBRISENTAN | LETAIRIS,APOTEX INC | AUROBINDO PHARMA LTD | CIPLA LTD | GILEAD SCIENCES INC | MYLAN PHARMACEUTICALS INC | SIGMAPHARM LABORATORIES LLC | SUN PHARMACEUTICAL INDUSTRIES LTD | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC,1,8,022081,208252 | 208354 | 208441 | 210058 | 210701 | 210715 | 210784 | 216531,TABLET;ORAL,AB,2007-06-15,2022-07-21,2,15,Cardiovascular,CHRONIC,3,2031-10-14,2031,,,No
AMCINONIDE,AMCINONIDE,GENUS LIFE SCIENCES INC | GENUS LIFESCIENCES INC | SOLUBIOMIX LLC | TARO PHARMACEUTICAL INDUSTRIES LTD,0,4,,076065 | 076096 | 076229 | 076329,CREAM;TOPICAL | LOTION;TOPICAL | OINTMENT;TOPICAL,AB,2002-05-31,2003-05-15,0,4,Dermatology,CHRONIC,0,,,,,No
AMIFAMPRIDINE PHOSPHATE,FIRDAPSE,CATALYST PHARMACEUTICALS INC,1,0,208078,,TABLET;ORAL,,2018-11-28,2018-11-28,1,0,Metabolic,CHRONIC,6,2037-02-25,2037,,,No
AMIFOSTINE,ETHYOL,LEGACY PHARMA INC,1,0,020221,,INJECTABLE;INJECTION,,1995-12-08,1995-12-08,1,0,Other/Unclassified,OTHER,0,,,,,No
AMIKACIN SULFATE,AMIKACIN SULFATE | ARIKAYCE KIT,AVET LIFESCIENCES LTD | FRESENIUS KABI USA LLC | HIKMA PHARMACEUTICALS USA INC | INSMED INC | MEITHEAL PHARMACEUTICALS INC | QILU PHARMACEUTICAL CO LTD | SAGENT PHARMACEUTICALS INC,1,7,207356,063313 | 063315 | 064045 | 203323 | 204040 | 205604 | 218146,"INJECTABLE;INJECTION | SUSPENSION, LIPOSOMAL;INHALATION",AP,1993-09-28,2024-03-19,1,7,Infectious,SHORT,14,2035-05-15,2035,GAIN,2030-09-28,Yes
AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE | MIDAMOR,PADAGIS US LLC | PH HEALTH LTD | SIGMAPHARM LABORATORIES LLC,1,2,018200,070346 | 079133,TABLET;ORAL,AB,1986-01-22,2009-01-30,1,2,Other/Unclassified,OTHER,0,,,,,No
AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,BARR LABORATORIES INC | RISING PHARMA HOLDING INC,0,2,,071111 | 073209,TABLET;ORAL,AB,1988-05-10,1991-10-31,0,2,Cardiovascular,CHRONIC,0,,,,,No
AMINO ACIDS,AMINO ACIDS | AMINOSYN II 10% IN PLASTIC CONTAINER | AMINOSYN II 15% IN PLASTIC CONTAINER | AMINOSYN-PF 10% | AMINOSYN-PF 7% | CLINISOL 15% SULFITE FREE IN PLASTIC CONTAINER | PREMASOL 10% IN PLASTIC CONTAINER | PREMASOL 6% IN PLASTIC CONTAINER | PROSOL 20% SULFITE FREE IN PLASTIC CONTAINER | TRAVASOL 10% IN PLASTIC CONTAINER | TRAVASOL 5.5% IN PLASTIC CONTAINER | TRAVASOL 8.5% IN PLASTIC CONTAINER | TROPHAMINE | TROPHAMINE 10%,B BRAUN MEDICAL INC | BAXTER HEALTHCARE CORP | BAXTER HEALTHCARE INTERNATI0NAL SPECIALTY THERAPIES DIV | OTSUKA ICU MEDICAL LLC,7,3,018931 | 019018 | 019398 | 019492 | 020015 | 020041 | 020849,020512 | 075880 | 091112,INJECTABLE;INJECTION,,1984-07-20,2012-04-13,3,5,Other/Unclassified,OTHER,0,,,,,No
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",CLINIMIX E 2.75/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 2.75/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 2.75/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/20 SULFITE FREE W/ ELECT IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/15 SULFITE FREE W/ ELECT IN DEXTROSE 15% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/20 SULFITE FREE W/ ELECT IN 20% DEXTROSE W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/35 SULFITE FREE W/ ELECT IN DEXTROSE 35% W/ CALCIUM IN PLASTIC CONTAINER,BAXTER HEALTHCARE CORP,1,0,020678,,INJECTABLE;INJECTION,,1997-03-26,1997-03-26,12,0,Other,SHORT,0,,,,,No
AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL,KABIVEN IN PLASTIC CONTAINER | PERIKABIVEN IN PLASTIC CONTAINER,FRESENIUS KABI USA LLC,1,0,200656,,EMULSION;INTRAVENOUS,,2014-08-25,2014-08-25,7,0,Other,SHORT,1,2036-05-03,2036,,,No
AMINO ACIDS; DEXTROSE,CLINIMIX 2.75/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 2.75/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 2.75/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER | CLINIMIX 4.25/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 4.25/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER | CLINIMIX 4.25/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 4.25/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER | CLINIMIX 5/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 5/15 SULFITE FREE IN DEXTROSE 15% IN PLASTIC CONTAINER | CLINIMIX 5/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER | CLINIMIX 5/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 5/35 SULFITE FREE IN DEXTROSE 35% IN PLASTIC CONTAINER | CLINIMIX 8/14 SULFITE FREE IN DEXTROSE 14% IN PLASTIC CONTAINER,BAXTER HEALTHCARE CORP,1,0,020734,,INJECTABLE;INJECTION,,1997-09-29,2021-04-13,0,0,Other,SHORT,0,,,,,No
AMINOCAPROIC ACID,AMICAR | AMINOCAPROIC ACID | AMINOCAPROIC ACID IN PLASTIC CONTAINER,AJENAT PHARMACEUTICALS LLC | AMNEAL EU LTD | AMNEAL PHARMACEUTICALS LLC | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | CARNEGIE PHARMACEUTICALS LLC | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | LUITPOLD PHARMACEUTICALS INC | MSN LABORATORIES PRIVATE LTD | REGCON HOLDINGS LLC | RISING PHARMA HOLDINGS INC | SCIEGEN PHARMACEUTICALS INC | SUNNY PHARMTECH INC | TP ANDA HOLDINGS LLC | ZENARA PHARMA PRIVATE LTD,2,18,015197 | 015230,070010 | 071192 | 209060 | 212492 | 212494 | 212780 | 212938 | 213213 | 213216 | 213825 | 213928 | 213944 | 214140 | 215100 | 215374 | 215510 | 216464 | 216804,INJECTABLE;INJECTION | SOLUTION;ORAL | TABLET;ORAL,AA | AB | AP,1987-03-09,2025-08-28,3,22,Autoimmune,SHORT,0,,,,,No
AMINOLEVULINIC ACID HYDROCHLORIDE,AMELUZ | GLEOLAN | LEVULAN,BIOFRONTERA INC | NX DEVELOPMENT CORP | SUN PHARMACEUTICAL INDUSTRIES INC,3,0,020965 | 208081 | 208630,,FOR SOLUTION;ORAL | GEL;TOPICAL | SOLUTION;TOPICAL,,1999-12-03,2017-06-06,3,0,Other/Unclassified,OTHER,13,2043-12-08,2043,D-194,2027-10-04,No
AMINOPHYLLINE,AMINOPHYLLINE,HOSPIRA INC,0,1,,087242,INJECTABLE;INJECTION,,1983-10-26,1983-10-26,1,1,Respiratory,CHRONIC,0,,,,,No
AMINOSALICYLIC ACID,PASER,ADAPTIS PHARMA PRIVATE LTD,0,1,,074346,"GRANULE, DELAYED RELEASE;ORAL",,1994-06-30,1994-06-30,0,1,Other/Unclassified,OTHER,0,,,,,No
AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE | NEXTERONE | PACERONE,ACELLA PHARMACEUTICALS LLC | AUROBINDO PHARMA LTD | BAXTER HEALTHCARE CORP | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES SA | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HIKMA FARMACEUTICA (PORTUGAL) SA | MYLAN INSTITUTIONAL LLC | RUBICON RESEARCH LTD | TARO PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA | UNICHEM LABORATORIES LTD | UPSHER SMITH LABORATORIES LLC | ZHEJIANG POLY PHARM CO LTD | ZYDUS PHARMACEUTICALS USA INC,1,16,022325,074739 | 075135 | 075389 | 075424 | 075761 | 076217 | 077069 | 077161 | 077234 | 077610 | 077834 | 078578 | 079029 | 204742 | 213446 | 218253,INJECTABLE;INJECTION | TABLET;ORAL,AB | AP,1998-04-30,2024-09-11,2,27,Cardiovascular,CHRONIC,7,2033-02-27,2033,,,No
AMISULPRIDE,BARHEMSYS,ACACIA PHARMA LTD,1,0,209510,,SOLUTION;INTRAVENOUS,,2020-02-26,2020-09-01,2,0,Other/Unclassified,OTHER,8,2038-02-09,2038,,,No
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,ACCORD HEALTHCARE INC | AIPING PHARMACEUTICAL INC | AUROBINDO PHARMA USA INC | MANKIND PHARMA LTD | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SANDOZ INC | SUN PHARMACEUTICAL INDUSTRIES INC | UNICHEM LABORATORIES LTD | UNIQUE PHARMACEUTICAL LABORATORIES | ZYDUS PHARMACEUTICALS USA INC,0,11,,085968 | 086009 | 089399 | 202446 | 210086 | 212654 | 213999 | 214548 | 215376 | 217411 | 218389,TABLET;ORAL,AB,1987-07-14,2025-06-23,6,66,Psychiatric,CHRONIC,0,,,,,No
AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,MYLAN PHARMACEUTICALS INC,0,1,,071297,TABLET;ORAL,,1986-12-10,1986-12-10,0,2,Psychiatric,CHRONIC,0,,,,,No
AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,MYLAN PHARMACEUTICALS INC,0,1,,071443,TABLET;ORAL,,1988-11-10,1988-11-10,0,5,Psychiatric,CHRONIC,0,,,,,No
AMLODIPINE BENZOATE,KATERZIA,AZURITY PHARMACEUTICALS INC,1,0,211340,,SUSPENSION;ORAL,,2019-07-08,2019-07-08,1,0,Cardiovascular,CHRONIC,13,2039-04-11,2039,,,No
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE | NORLIQVA | NORVASC | SDAMLO,ACCORD HEALTHCARE INC | ALKEM LABORATORIES LTD | AUROBINDO PHARMA LTD | BRILLIAN PHARMA INC | CHARTWELL RX SCIENCES LLC | CHINA RESOURCES SAIKE PHARMACEUTICAL CO LTD | CIPLA LTD | CMP DEVELOPMENT LLC | COREPHARMA LLC | EPIC PHARMA LLC | GRAVITI PHARMACEUTICALS INC | INVAGEN PHARMACEUTICALS INC | LUPIN LTD | ORBION PHARMACEUTICALS PRIVATE LTD | OXFORD PHARMACEUTICALS LLC | PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS | STRIDES PHARMA GLOBAL PTE LTD | TEVA PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA INC | UNICHEM LABORATORIES LTD | VIATRIS SPECIALTY LLC | ZYDUS PHARMACEUTICALS USA INC,3,20,019787 | 214439 | 219531,076692 | 076719 | 076846 | 077073 | 077516 | 077955 | 078021 | 078043 | 078226 | 078414 | 078453 | 078552 | 078925 | 090752 | 201380 | 202553 | 203245 | 206367 | 207821 | 219686,FOR SOLUTION;ORAL | SOLUTION;ORAL | TABLET;ORAL,AB,1992-07-31,2026-02-17,7,60,Cardiovascular,CHRONIC,6,2041-02-24,2041,,,No
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM | CADUET,ALEMBIC PHARMACEUTICALS LTD | APOTEX INC | DR REDDYS LABORATORIES LTD | MYLAN PHARMACEUTICALS INC | NEOCUBES PHARMA LLP | PHARMACIA AND UPJOHN CO LLC,1,5,021540,200465 | 203874 | 205199 | 207762 | 217279,TABLET;ORAL,AB,2004-01-30,2025-05-22,11,49,Cardiovascular,CHRONIC,0,,,,,No
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,AUROBINDO PHARMA LTD | DR REDDYS LABORATORIES INC | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | LUPIN PHARMACEUTICALS INC | WATSON LABORATORIES INC,0,7,,077183 | 077890 | 078466 | 090149 | 090364 | 091431 | 202239,CAPSULE;ORAL,AB,2010-02-05,2013-12-30,0,30,Cardiovascular,CHRONIC,0,,,,,No
AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE | TRIBENZOR",COSETTE PHARMACEUTICALS INC | HETERO LABS LTD UNIT V | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | PH HEALTH LTD | PIRAMAL HEALTHCARE UK LTD | TEVA PHARMACEUTICALS USA | TORRENT PHARMACEUTICALS LTD,1,7,200175,202491 | 203580 | 206137 | 207088 | 207437 | 209242 | 210718,TABLET;ORAL,AB,2010-07-23,2025-11-24,5,32,Cardiovascular,CHRONIC,0,,,,,No
AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; VALSARTAN,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE | EXFORGE HCT",AUROBINDO PHARMA LTD | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | NOVARTIS PHARMACEUTICALS CORP | STRIDES PHARMA INTERNATIONAL AG,1,4,022314,200797 | 201087 | 206180 | 207299,TABLET;ORAL,AB,2009-04-30,2025-01-07,5,20,Cardiovascular,CHRONIC,0,,,,,No
AMLODIPINE BESYLATE; INDAPAMIDE; TELMISARTAN,WIDAPLIK,AZURITY PHARMACEUTICALS INC,1,0,219423,,TABLET;ORAL,,2025-06-05,2025-06-05,3,0,Cardiovascular,CHRONIC,3,2038-01-23,2038,NP,2028-06-05,No
AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL,AMLODIPINE AND OLMESARTAN MEDOXOMIL | AZOR,AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AUROBINDO PHARMA LTD | COSETTE PHARMACEUTICALS INC | HETERO LABS LTD UNIT V | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | SCIEGEN PHARMACEUTICALS INC | ZYDUS PHARMACEUTICALS USA INC,1,9,022100,206884 | 206906 | 207073 | 207216 | 207435 | 207771 | 209010 | 209042 | 209591,TABLET;ORAL,AB,2007-09-26,2025-02-14,4,36,Cardiovascular,CHRONIC,0,,,,,No
AMLODIPINE BESYLATE; TELMISARTAN,TELMISARTAN AND AMLODIPINE,MYLAN PHARMACEUTICALS INC,0,1,,202516,TABLET;ORAL,,2014-08-26,2014-08-26,0,4,Cardiovascular,CHRONIC,0,,,,,No
